,title,dj_name,dj_id,spins,avg_danceability,avg_energy,avg_loudness,avg_acousticness,avg_instrumentalness,avg_valence,avg_tempo,avg_duration_ms,avg_time_signature,genre_1,genre_2,genre_3
60,Six Degrees of David Bowie,Iman Smith,165191,201,0.5869800995024874,0.62293184079602,-9.439641791044773,0.24552176169154236,0.11903120253731354,0.5680671641791046,122.26415422885573,252963.83582089553,3.8656716417910446,Pop Rock,Art Rock,Glam Rock
61,Slackademics,Jade Brown,165230,80,0.6084749999999999,0.6793799999999999,-7.501224999999998,0.1755716550000001,0.09780775850000002,0.54262875,120.10679999999999,231694.9125,3.95,Synthpop,Contemporary R&B,Indie Rock
62,Sound + Color,David Obajemu,169209,28,0.7309285714285715,0.6458214285714285,-7.095142857142858,0.25372357142857144,0.0010598421428571426,0.54925,112.43599999999999,185103.0357142857,4.071428571428571,Afrobeats,Pop Rap,Contemporary R&B
63,Sounds Like Theirs,Lydia Shreves,168883,108,0.6418333333333337,0.6085731481481481,-7.9015925925925945,0.2951993055555555,0.05481212574074073,0.5558305555555555,118.39934259259265,208508.7314814815,3.9537037037037037,Art Pop,Alternative R&B,Neo-Soul
64,Soundtrack 2 My Life,La-Min Lin,165221,199,0.6621306532663315,0.71745175879397,-6.3161909547738695,0.15684812814070362,0.034724398844221106,0.5875748743718593,120.60201507537691,214529.81909547737,3.979899497487437,Pop Rap,Trap,East Coast Hip Hop
65,Supper's Ready,Leilani Martinez,164786,454,0.5228859030837006,0.6791517621145372,-7.797828193832587,0.19630310376651988,0.08959744176211445,0.5419936123348015,119.92270925110141,219241.44933920706,3.9251101321585904,Pop Rock,Alternative Rock,Power Pop
66,The Attic,Ben Griffith,164873,106,0.5744905660377357,0.6528207547169814,-8.485179245283023,0.23094202641509423,0.08567176584905657,0.6536415094339624,131.71150943396222,210558.0849056604,3.990566037735849,Indie Rock,Singer-Songwriter,Alternative Rock
67,The Comfort Zone,xavier amir,164919,121,0.6341570247933882,0.6147520661157022,-8.242785123966947,0.2979339537190083,0.10393456115702486,0.48676363636363645,112.59735537190076,279185.5867768595,3.950413223140496,Contemporary R&B,Neo-Soul,Alternative R&B
68,The Crate Dive,Elad Shdaimah,167319,141,0.6383829787234044,0.5275418439716308,-9.289985815602833,0.35051429078014185,0.07456415581560286,0.5105397163120567,114.84922695035466,209193.27659574468,3.950354609929078,Alternative R&B,Pop Rap,Trap
69,The Funky Monkey Radio Hour,Oliver Wolcott,167318,129,0.54137984496124,0.6094472868217051,-8.654255813953489,0.3691684496124029,0.12359753976744184,0.49126899224806153,123.1615813953488,209323.22480620156,3.937984496124031,Soul,Rhythm & Blues,Country Blues
70,The Irrelevant Show,Pastor Irrelevant,164688,383,0.6348146214099194,0.6512845953002638,-8.811509138381167,0.22455143603133143,0.3095074197389046,0.7818114882506568,130.81915404699836,163491.33420365537,4.240208877284595,Indie Rock,Slacker Rock,Black Metal
71,The New Indie Canon,Patchen Mortimer,164771,392,0.5411301020408166,0.7217474489795922,-7.316025510204078,0.1669886900765306,0.05830997058673469,0.6146028061224486,126.90791071428569,213275.6556122449,3.9668367346938775,Indie Rock,Indie Pop,Singer-Songwriter
72,The Old All Told,Katarina,167320,366,0.5504316939890709,0.5533489071038254,-10.516073770491802,0.3028739350000002,0.055599973415300534,0.5638986338797817,118.61677868852462,243353.956284153,3.9344262295081966,Pop Rock,Soft Rock,Singer-Songwriter
73,The Roaring '20s,Jack Hincks,168902,51,0.4295882352941179,0.42290196078431397,-13.553450980392155,0.6865127450980393,0.7558705784313724,0.4279450980392157,116.95384313725489,332857.35294117645,3.843137254901961,Avant-Garde Jazz,Nu Jazz,Instrumental Hip Hop
74,The Strip,Menjor In Strip Clubs,164813,81,0.7744567901234569,0.6760864197530861,-5.9164197530864175,0.16598103703703698,0.025653561975308648,0.5432530864197529,117.23779012345682,225365.58024691357,4.0,Pop Rap,Trap,Contemporary R&B
75,The Zozone,Hannah Zozobrado,165188,89,0.617561797752809,0.5510561797752807,-8.070955056179779,0.3854401460674156,0.04324945550561799,0.4859280898876405,116.77613483146064,223651.88764044945,3.9101123595505616,Alternative R&B,Contemporary R&B,Dance-Pop
76,The girl playlist,Molly Williams,164954,174,0.50917816091954,0.5473465517241379,-9.537264367816087,0.3507408531609196,0.0920504164367816,0.4783643678160922,126.71954597701152,215789.3275862069,3.867816091954023,Singer-Songwriter,Indie Rock,Alternative Rock
